Date,USD,CAD
2/1/2021,1,1.316
2/2/2021,1,1.316
2/3/2021,1,1.317
2/4/2021,1,1.317
2/5/2021,1,1.318
2/6/2021,1,1.319
2/7/2021,1,1.319
2/8/2021,1,1.320
2/9/2021,1,1.320
2/10/2021,1,1.321
2/11/2021,1,1.322
2/12/2021,1,1.322
2/13/2021,1,1.323
2/14/2021,1,1.323
2/15/2021,1,1.324
2/16/2021,1,1.325
2/17/2021,1,1.325
2/18/2021,1,1.326
2/19/2021,1,1.327
2/20/2021,1,1.327
2/21/2021,1,1.328
2/22/2021,1,1.328
2/23/2021,1,1.329
2/24/2021,1,1.330
2/25/2021,1,1.330
2/26/2021,1,1.331
2/27/2021,1,1.331
2/28/2021,1,1.332
3/1/2021,1,1.333
3/2/2021,1,1.333
3/3/2021,1,1.334
3/4/2021,1,1.334
3/5/2021,1,1.335
3/6/2021,1,1.336
3/7/2021,1,1.336
3/8/2021,1,1.337
3/9/2021,1,1.337
3/10/2021,1,1.338
3/11/2021,1,1.339
3/12/2021,1,1.339
3/13/2021,1,1.340
3/14/2021,1,1.340
3/15/2021,1,1.341
3/16/2021,1,1.342
3/17/2021,1,1.342
3/18/2021,1,1.343
3/19/2021,1,1.344
3/20/2021,1,1.344
3/21/2021,1,1.345
3/22/2021,1,1.345
3/23/2021,1,1.346
3/24/2021,1,1.347
3/25/2021,1,1.347
3/26/2021,1,1.348
3/27/2021,1,1.348
3/28/2021,1,1.349
3/29/2021,1,1.350
3/30/2021,1,1.350
4/1/2021,1,1.297
4/2/2021,1,1.298
4/3/2021,1,1.299
4/4/2021,1,1.298
4/5/2021,1,1.299
4/6/2021,1,1.297
4/7/2021,1,1.299
4/8/2021,1,1.304
4/9/2021,1,1.302
4/10/2021,1,1.302
4/11/2021,1,1.303
4/12/2021,1,1.303
4/13/2021,1,1.304
4/14/2021,1,1.305
4/15/2021,1,1.305
4/16/2021,1,1.306
4/17/2021,1,1.306
4/18/2021,1,1.307
4/19/2021,1,1.308
4/20/2021,1,1.308
4/21/2021,1,1.309
4/22/2021,1,1.310
4/23/2021,1,1.310
4/24/2021,1,1.311
4/25/2021,1,1.311
4/26/2021,1,1.312
4/27/2021,1,1.313
4/28/2021,1,1.313
4/29/2021,1,1.314
4/30/2021,1,1.314
5/1/2021,1,1.315
5/2/2021,1,1.316
5/3/2021,1,1.316
5/4/2021,1,1.317
5/5/2021,1,1.317
5/6/2021,1,1.318
5/7/2021,1,1.319
5/8/2021,1,1.319
5/9/2021,1,1.320
5/10/2021,1,1.320
5/11/2021,1,1.321
5/12/2021,1,1.322
5/13/2021,1,1.322
5/14/2021,1,1.323
5/15/2021,1,1.323
5/16/2021,1,1.324
5/17/2021,1,1.325
5/18/2021,1,1.325
5/19/2021,1,1.326
5/20/2021,1,1.327
5/21/2021,1,1.327
5/22/2021,1,1.328
5/23/2021,1,1.328
5/24/2021,1,1.329
5/25/2021,1,1.330
5/26/2021,1,1.330
5/27/2021,1,1.331
5/28/2021,1,1.331
5/29/2021,1,1.332
5/30/2021,1,1.333
5/31/2021,1,1.333
6/1/2021,1,1.334
6/2/2021,1,1.334
6/3/2021,1,1.335
6/4/2021,1,1.336
6/5/2021,1,1.336
6/6/2021,1,1.337
6/7/2021,1,1.337
6/8/2021,1,1.338
6/9/2021,1,1.339
6/10/2021,1,1.339
6/11/2021,1,1.340
6/12/2021,1,1.340
6/13/2021,1,1.341
6/14/2021,1,1.342
6/15/2021,1,1.342
6/16/2021,1,1.343
6/17/2021,1,1.344
6/18/2021,1,1.344
6/19/2021,1,1.345
6/20/2021,1,1.345
6/21/2021,1,1.346
6/22/2021,1,1.347
6/23/2021,1,1.347
6/24/2021,1,1.348
6/25/2021,1,1.348
6/26/2021,1,1.349
6/27/2021,1,1.350
6/28/2021,1,1.350
6/29/2021,1,1.351
6/30/2021,1,1.351
7/1/2021,1,1.338
7/2/2021,1,1.338
7/3/2021,1,1.338
7/4/2021,1,1.338
7/5/2021,1,1.339
7/6/2021,1,1.339
7/7/2021,1,1.339
7/8/2021,1,1.339
7/9/2021,1,1.339
7/10/2021,1,1.339
7/11/2021,1,1.340
7/12/2021,1,1.340
7/13/2021,1,1.340
7/14/2021,1,1.340
7/15/2021,1,1.340
7/16/2021,1,1.340
7/17/2021,1,1.341
7/18/2021,1,1.341
7/19/2021,1,1.341
7/20/2021,1,1.341
7/21/2021,1,1.341
7/22/2021,1,1.341
7/23/2021,1,1.341
7/24/2021,1,1.342
7/25/2021,1,1.342
7/26/2021,1,1.342
7/27/2021,1,1.342
7/28/2021,1,1.342
7/29/2021,1,1.342
7/30/2021,1,1.343
7/31/2021,1,1.343
8/1/2021,1,1.343
8/2/2021,1,1.343
8/3/2021,1,1.343
8/4/2021,1,1.343
8/5/2021,1,1.343
8/6/2021,1,1.344
8/7/2021,1,1.344
8/8/2021,1,1.344
8/9/2021,1,1.344
8/10/2021,1,1.344
8/11/2021,1,1.344
8/12/2021,1,1.345
8/13/2021,1,1.345
8/14/2021,1,1.345
8/15/2021,1,1.345
8/16/2021,1,1.345
8/17/2021,1,1.345
8/18/2021,1,1.346
8/19/2021,1,1.346
8/20/2021,1,1.346
8/21/2021,1,1.346
8/22/2021,1,1.346
8/23/2021,1,1.346
8/24/2021,1,1.346
8/25/2021,1,1.347
8/26/2021,1,1.347
8/27/2021,1,1.347
8/28/2021,1,1.347
8/29/2021,1,1.347
8/30/2021,1,1.347
8/31/2021,1,1.348
9/1/2021,1,1.348
9/2/2021,1,1.348
9/3/2021,1,1.348
9/4/2021,1,1.348
9/5/2021,1,1.348
9/6/2021,1,1.349
9/7/2021,1,1.349
9/8/2021,1,1.349
9/9/2021,1,1.349
9/10/2021,1,1.349
9/11/2021,1,1.349
9/12/2021,1,1.349
9/13/2021,1,1.350
9/14/2021,1,1.350
9/15/2021,1,1.350
9/16/2021,1,1.350
9/17/2021,1,1.350
9/18/2021,1,1.350
9/19/2021,1,1.351
9/20/2021,1,1.351
9/21/2021,1,1.351
9/22/2021,1,1.351
9/23/2021,1,1.351
9/24/2021,1,1.351
9/25/2021,1,1.351
9/26/2021,1,1.352
9/27/2021,1,1.352
9/28/2021,1,1.352
9/29/2021,1,1.352
9/30/2021,1,1.352
